Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742864632984,800,800,800,800,12.820513725280762,21.052631378173828,18.421052932739258,15.000000953674316,117477.88330078125,4096,390,19526,35,0,125379.20751953125,202308.91400146484,0,16720330752,4294963200,1074405376,1198202880
9999,1742864632984,800,800,800,800,12.820513725280762,21.052631378173828,18.421052932739258,15.000000953674316,117477.92858886719,4096,390,19526,34,0,125379.75634765625,202308.9910888672,0,16720330752,4294963200,1089585152,1198202880
9999,1742864642984,800,800,800,800,4.195804119110107,7.907907485961914,11.188811302185059,2.985074520111084,117487.26751708984,4096,390,19526,34,0,125506.1567993164,202323.42407226563,0,16720330752,4294963200,1198657536,1197678592
9999,1742864652984,800,800,800,800,37.989952087402344,17.593528747558594,25.427135467529297,27.72772979736328,117499.85217285156,4096,390,19526,35,0,125711.02355957031,202415.58026123047,0,16720330752,4294963200,1791266816,1197416448
9999,1742864662984,800,800,800,800,100,100,100,100,117526.8696899414,4096,390,19767,34,0,126198.1763305664,202785.78247070313,0,16720330752,4294963200,1763540992,1197416448
9999,1742864672984,800,800,800,800,100,100,100,100,117553.77825927734,4096,390,20000,34,0,126683.51287841797,203154.20611572266,0,16720330752,4294963200,1762209792,1197154304
9999,1742864682984,800,800,800,800,100,100,100,100,117580.81176757813,4096,390,19285,35,0,127173.91217041016,203527.59002685547,0,16720330752,4294963200,2581078016,1194270720
9999,1742864692985,800,800,800,800,100,100,100,100,117609.64923095703,4096,390,19285,34,0,127677.99536132813,203913.84454345703,0,16720330752,4294963200,2504646656,1194008576
9999,1742864702985,800,800,800,800,100,100,100,100,117638.42779541016,4096,390,19526,34,0,128182.70123291016,204300.76147460938,0,16720330752,4294963200,2527424512,1194008576
9999,1742864712985,800,800,800,800,100,100,100,100,117667.12646484375,4096,390,19759,34,0,128688.51354980469,204688.79461669922,0,16720330752,4294963200,2527535104,1194008576
9999,1742864722985,800,800,800,800,100,100,100,100,117695.81982421875,4096,390,19767,34,0,129196.13659667969,205078.59271240234,0,16720330752,4294963200,2508881920,1194008576
9999,1742864732985,800,800,800,800,100,100,100,100,117723.7387084961,4096,390,19285,34,0,129702.69616699219,205467.63739013672,0,16720330752,4294963200,4422750208,1194008576
9999,1742864742985,800,800,800,800,98.20179748535156,98.20179748535156,100,98.19999694824219,117750.25811767578,4096,390,19759,34,0,130203.9644165039,205851.93090820313,0,16720330752,4294963200,5562556416,1194008576
9999,1742864752985,800,800,800,800,100,100,100,100,117779.84637451172,4096,390,19767,34,0,130714.07635498047,206243.9839477539,0,16720330752,4294963200,5558108160,1194008576
9999,1742864762985,800,800,800,800,100,100,100,100,117809.22033691406,4096,390,19759,34,0,131223.4468383789,206635.3685913086,0,16720330752,4294963200,5645684736,1194008576
9999,1742864772985,800,800,800,800,100,100,100,100,117838.85705566406,4096,390,19759,34,0,131733.8950805664,207027.74725341797,0,16720330752,4294963200,5498068992,1194008576
9999,1742864782985,800,800,800,800,100,100,100,100,117868.32543945313,4096,390,19518,34,0,132244.27227783203,207420.0867919922,0,16720330752,4294963200,5452476416,1193746432
9999,1742864792985,800,800,800,800,100,100,100,100,117897.65979003906,4096,390,20000,34,0,132755.22631835938,207813.06610107422,0,16720330752,4294963200,5514014720,1193746432
9999,1742864802985,800,800,800,800,100,100,100,100,117926.5570678711,4096,390,19754,34,0,133265.6717529297,208205.69982910156,0,16720330752,4294963200,5616185344,1193746432
9999,1742864812986,800,800,800,800,100,100,100,100,117955.92150878906,4096,390,19513,34,0,133777.15008544922,208599.14263916016,0,16720330752,4294963200,5395091456,1193484288
9999,1742864822986,800,800,800,800,100,100,100,100,117984.87316894531,4096,390,19767,34,0,134288.32836914063,208992.5408935547,0,16720330752,4294963200,5479280640,1193484288
9999,1742864832986,800,800,800,800,100,100,100,100,118014.42553710938,4096,390,19518,34,0,134799.982421875,209386.0877685547,0,16720330752,4294963200,5430759424,1193484288
9999,1742864842986,800,800,800,800,100,100,100,100,118043.45922851563,4096,390,19759,34,0,135309.7296142578,209777.96533203125,0,16720330752,4294963200,5494419456,1193484288
9999,1742864852986,800,800,800,800,99.80020141601563,99.80000305175781,100,99.80000305175781,118072.41326904297,4096,390,19513,34,0,135819.51403808594,210169.9119873047,0,16720330752,4294963200,5437329408,1193484288
9999,1742864862986,800,800,800,800,100,100,100,100,118101.8803100586,4096,390,19759,34,0,136331.55322265625,210563.91961669922,0,16720330752,4294963200,5524017152,1193484288
9999,1742864872986,800,800,800,800,99.19920349121094,99.10089874267578,100,99.10089874267578,118127.38397216797,4096,390,19759,34,0,136838.03094482422,210953.70581054688,0,16720330752,4294963200,11704520704,1193222144
9995,1742864882990,800,800,800,800,83,82.08207702636719,82.68267822265625,84.0840835571289,118148.39251708984,4096,390,20008,34,0,137268.08111572266,211268.43621826172,0,16720330752,4294963200,15082827776,1294626816
9999,1742864892986,800,800,800,800,90.9909896850586,91.08216094970703,98.69999694824219,90.9000015258789,118170.24426269531,4096,390,19518,34,0,137746.65673828125,211631.62158203125,0,16720330752,4294963200,13222096896,1354219520
9999,1742864902986,800,800,800,800,93.20679473876953,93.19999694824219,100,93.19999694824219,118192.44024658203,4096,390,19518,34,0,138237.23468017578,212006.65887451172,0,16720330752,4294963200,11717922816,1353957376
9999,1742864912986,800,800,800,800,96.29629516601563,96.30000305175781,100,96.29629516601563,118215.23181152344,4096,390,19526,34,0,138731.88775634766,212385.5626220703,0,16720330752,4294963200,16362647552,1353695232
9999,1742864922986,800,800,800,800,93.0999984741211,93.00698852539063,100,93.09309387207031,118237.79962158203,4096,390,19767,34,0,139215.5635986328,212753.53088378906,0,16720330752,4294963200,15739613184,1353695232
9999,1742864932986,800,800,800,800,93.0999984741211,93.0999984741211,100,93.01396942138672,118260.3003540039,4096,390,19526,34,0,139700.68591308594,213122.99737548828,0,16720330752,4294963200,14890110976,1353695232
9999,1742864942986,800,800,800,800,93.19999694824219,93.30669403076172,98.79999542236328,92.09209442138672,118282.8989868164,4096,390,19767,34,0,140186.3267211914,213492.92321777344,0,16720330752,4294963200,14276591616,1353695232
9999,1742864952987,800,800,800,800,93.29328918457031,100,93.30000305175781,93.30000305175781,118305.22351074219,4096,390,19518,34,0,140675.6505126953,213866.70861816406,0,16720330752,4294963200,12592893952,1354219520
9999,1742864962987,800,800,800,800,93.69369506835938,100,93.59358978271484,93.59358978271484,118327.7055053711,4096,390,19518,34,0,141166.50134277344,214241.93518066406,0,16720330752,4294963200,11558617088,1353957376
9999,1742864972987,800,800,800,800,95.90409088134766,100,95.90409088134766,95.80419921875,118350.75311279297,4096,390,19759,34,0,141658.02935791016,214617.60913085938,0,16720330752,4294963200,16012668928,1353957376
9999,1742864982987,800,800,800,800,93.19319152832031,100,93.09309387207031,93.19319152832031,118373.50811767578,4096,390,19767,34,0,142143.15270996094,214987.0131225586,0,16720330752,4294963200,15461347328,1353957376
9999,1742864992987,800,800,800,800,93.29328918457031,100,93.29328918457031,93.19999694824219,118396.1176147461,4096,390,19759,34,0,142630.50244140625,215358.7021484375,0,16720330752,4294963200,14717833216,1353957376
9999,1742865002987,800,800,800,800,93.20679473876953,100,93.11377716064453,93.19999694824219,118418.8408203125,4096,390,19277,34,0,143118.88146972656,215731.3783569336,0,16720330752,4294963200,13673496576,1353957376
9999,1742865012987,800,800,800,800,93.30000305175781,100,93.30000305175781,93.30669403076172,118441.22863769531,4096,390,19513,34,0,143609.4619140625,216106.39453125,0,16720330752,4294963200,12348510208,1353957376
9999,1742865022987,800,800,800,800,94.0940933227539,100,94.0999984741211,94.0999984741211,118463.7827758789,4096,390,19759,34,0,144100.96282958984,216482.2459716797,0,16720330752,4294963200,12234551296,1353957376
9999,1742865032987,800,800,800,800,95.4000015258789,99.49949645996094,95.29529571533203,95.59559631347656,118487.16375732422,4096,390,19759,34,0,144590.34759521484,216855.7085571289,0,16720330752,4294963200,15947145216,1353957376
9999,1742865042987,800,800,800,800,93.30000305175781,100,93.30000305175781,93.30669403076172,118510.12518310547,4096,390,19526,34,0,145076.63647460938,217226.20654296875,0,16720330752,4294963200,15337824256,1353957376
9999,1742865052987,800,800,800,800,93.49349212646484,100,93.5,93.49349212646484,118533.05633544922,4096,390,19526,34,0,145565.4273071289,217599.18188476563,0,16720330752,4294963200,14476263424,1353957376
9999,1742865062987,800,800,800,800,93.69999694824219,100,93.5999984741211,93.5999984741211,118555.96594238281,4096,390,19759,34,0,146054.5098876953,217972.5264892578,0,16720330752,4294963200,14157225984,1353957376
9999,1742865072987,800,800,800,800,100,93.89389038085938,93.69369506835938,93.5064926147461,118578.74871826172,4096,390,19759,34,0,146544.50189208984,218346.86108398438,0,16720330752,4294963200,12782256128,1354752000
9999,1742865082988,800,800,800,800,100,93.80619812011719,93.69999694824219,93.7875747680664,118601.6694946289,4096,390,14699,34,0,147034.0341796875,218720.67559814453,0,16720330752,4294963200,11715522560,1340596224
9999,1742865092988,800,800,800,800,99.59960174560547,95,96.20379638671875,96.69999694824219,118625.5263671875,4096,354,14467,34,0,147522.48693847656,219093.04278564453,0,16720330752,4294963200,16345194496,1272963072
9999,1742865102988,800,800,800,800,96.5,94.1941909790039,93.29328918457031,96.79679870605469,118648.67803955078,4096,381,14457,34,0,148005.29455566406,219460.04528808594,0,16720330752,4294963200,15095455744,1328332800
9999,1742865112988,800,800,800,800,93,92.90709686279297,93.4000015258789,99.30069732666016,118671.796875,4096,381,14467,34,0,148490.61486816406,219829.51629638672,0,16720330752,4294963200,14289121280,1373908992
10000,1742865122988,800,800,800,800,93.70629119873047,93.79379272460938,93.80000305175781,100,118694.99938964844,4096,381,14457,34,0,148980.74560546875,220203.79986572266,0,16720330752,4294963200,13911609344,1373908992
9999,1742865132988,800,800,800,800,93.98797607421875,92,93.89389038085938,98.70130157470703,118718.08508300781,4096,381,14699,34,0,149468.96813964844,220576.20330810547,0,16720330752,4294963200,12915937280,1373646848
9999,1742865142988,800,800,800,800,93.9000015258789,93.9000015258789,92.79999542236328,99.39939880371094,118741.2435913086,4096,381,14462,34,0,149958.5887451172,220950.0121459961,0,16720330752,4294963200,11836428288,1373646848
9999,1742865152988,800,800,800,800,96.5,96.5,96.5,100,118765.03173828125,4096,381,14467,34,0,150454.1455078125,221329.43994140625,0,16720330752,4294963200,16114913280,1373646848
9999,1742865162988,800,800,800,800,94.0999984741211,94.00599670410156,94.00599670410156,100,118788.5986328125,4096,381,14467,33,0,150943.37451171875,221702.66473388672,0,16720330752,4294963200,15980888064,1373646848
9999,1742865172988,800,800,800,800,92.29228973388672,98.8989028930664,93.29328918457031,96.59659576416016,118812.58392333984,4096,381,14462,33,0,151428.69506835938,222071.84497070313,0,16720330752,4294963200,15443951616,1420267520
9999,1742865182988,800,800,800,800,93.4065933227539,92.5,96.5999984741211,96.9000015258789,118836.53198242188,4096,381,14699,33,0,151915.68084716797,222442.72064208984,0,16720330752,4294963200,15038267392,1420267520
9999,1742865192989,800,800,800,800,94.58917999267578,96.80000305175781,94.9000015258789,96.10000610351563,118860.44458007813,4096,381,14699,33,0,152404.95538330078,222815.91302490234,0,16720330752,4294963200,14340038656,1434480640
9999,1742865202989,800,800,800,800,92.79999542236328,98.40160369873047,95.20000457763672,94.20579528808594,118884.3173828125,4096,381,14457,33,0,152894.0591430664,223188.94763183594,0,16720330752,4294963200,13567119360,1443958784
9999,1742865212989,800,800,800,800,95.70429229736328,93.29328918457031,99.5999984741211,93.0999984741211,118907.91082763672,4096,381,14699,33,0,153384.65423583984,223563.58337402344,0,16720330752,4294963200,11833417728,1460510720
9999,1742865222989,800,800,800,800,95.30000305175781,97,98.0999984741211,95.09510040283203,118931.70251464844,4096,381,14708,33,0,153877.46936035156,223940.3080444336,0,16720330752,4294963200,13473935360,1460248576
9999,1742865232989,800,800,800,800,94.79479217529297,99.4000015258789,95.59559631347656,95.50897979736328,118955.73455810547,4096,381,14708,33,0,154368.3299560547,224315.0414428711,0,16720330752,4294963200,16063791104,1460248576
9999,1742865242989,800,800,800,800,93,99.29999542236328,95.09510040283203,93.69369506835938,118979.57623291016,4096,381,14699,33,0,154856.23406982422,224686.8403930664,0,16720330752,4294963200,15767867392,1460248576
9999,1742865252989,800,800,800,800,90.8908920288086,93.99398803710938,94.19999694824219,93.70629119873047,119003.16918945313,4096,381,14699,33,0,155335.52563476563,225050.13287353516,0,16720330752,4294963200,15290937344,1469161472
9999,1742865262989,800,800,800,800,94.1941909790039,98.9000015258789,92.69999694824219,93.99398803710938,119026.86193847656,4096,381,14457,33,0,155822.89282226563,225421.4271850586,0,16720330752,4294963200,14582173696,1469161472
10002,1742865272989,800,800,800,800,94.4000015258789,96.99700164794922,96.40359497070313,93.5999984741211,119050.38153076172,4096,381,14457,33,0,156312.08026123047,225794.65399169922,0,16720330752,4294963200,13839568896,1469161472
9999,1742865282992,800,800,800,800,96.30000305175781,92.11576843261719,94.89488983154297,92.69999694824219,119073.31909179688,4096,381,14457,33,0,156793.53643798828,226160.36041259766,0,16720330752,4294963200,12898025472,1464705024
9999,1742865292992,800,800,800,800,97.79999542236328,95.39540100097656,99.4000015258789,95.19519805908203,119097.04559326172,4096,381,14467,33,0,157287.56134033203,226538.27294921875,0,16720330752,4294963200,16387211264,1464705024
9999,1742865302992,800,800,800,800,94.80000305175781,99.50050354003906,93.80000305175781,92.70729064941406,119121.0892944336,4096,381,14467,33,0,157772.07879638672,226906.60400390625,0,16720330752,4294963200,15632609280,1469947904
9999,1742865312992,800,800,800,800,94.19999694824219,100,94.0999984741211,94.1941909790039,119144.69750976563,4096,381,14704,33,0,158261.10083007813,227279.6209716797,0,16720330752,4294963200,15399043072,1469947904
9999,1742865322992,800,800,800,800,94.0999984741211,100,94.0999984741211,94.0999984741211,119168.44128417969,4096,381,14699,32,0,158751.96942138672,227654.45526123047,0,16720330752,4294963200,15125901312,1469685760
