Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743473501453,3100,3101,3100,3101,19.35483741760254,12.90322494506836,16.129032135009766,13.333333969116211,59437.96307373047,4096,444,14467,29,0,56661.088623046875,190401.05432128906,0,16720314368,4294963200,2060099584,853004288
10000,1743473501453,3100,3101,3100,3101,19.35483741760254,12.90322494506836,16.129032135009766,13.333333969116211,59437.994567871094,4096,444,14467,29,0,56661.53601074219,190401.25750732422,0,16720314368,4294963200,2067124224,853004288
9999,1743473511454,3100,3101,3100,3101,3.6926145553588867,1.6949152946472168,2.8913259506225586,2.9910268783569336,59446.87512207031,4096,444,14467,29,4,56778.34753417969,190406.04205322266,0,16720314368,4294963200,2070597632,853004288
9999,1743473521454,3100,3101,3100,3101,0.5010020136833191,0.30060118436813354,0.10030090063810349,0,59455.62939453125,4096,444,14467,29,0,56891.77606201172,190407.44757080078,0,16720314368,4294963200,2078818304,853004288
9999,1743473531454,3100,3101,3100,3101,0.20060180127620697,0.20040079951286316,0.20020020008087158,0.20000000298023224,59464.382385253906,4096,444,14467,29,0,57005.104248046875,190408.73358154297,0,16720314368,4294963200,2078810112,853004288
9999,1743473541454,3100,3101,3100,3101,0.40040040016174316,0.20020020008087158,0.3003003001213074,0.10020039975643158,59473.13415527344,4096,444,14467,29,0,57118.348876953125,190409.95196533203,0,16720314368,4294963200,2070794240,853004288
9999,1743473551455,3100,3101,3100,3101,0.30090272426605225,0,0.20040079951286316,0.10020039975643158,59481.88153076172,4096,444,14467,29,0,57231.48223876953,190411.05877685547,0,16720314368,4294963200,2078785536,853004288
9999,1743473561455,3100,3101,3100,3101,0.30060118436813354,0.20000000298023224,0.10020039975643158,0.10020039975643158,59490.6279296875,4096,444,14467,29,0,57344.67370605469,190412.20318603516,0,16720314368,4294963200,2071007232,853004288
9999,1743473571455,3100,3101,3100,3101,0.30060118436813354,0,0.3003003001213074,0.20020020008087158,59499.379638671875,4096,444,14467,29,0,57457.9794921875,190413.48217773438,0,16720314368,4294963200,2071228416,853004288
9999,1743473581456,3100,3101,3100,3101,0.500500500202179,0.20020020008087158,0.10020039975643158,0.30000001192092896,59508.12744140625,4096,444,14467,29,0,57571.311950683594,190414.7837524414,0,16720314368,4294963200,2079219712,853004288
9999,1743473591456,3100,3101,3100,3101,0.30060118436813354,0.20020020008087158,0.10020039975643158,0.2997002899646759,59516.87951660156,4096,444,14467,29,0,57684.70135498047,190416.13458251953,0,16720314368,4294963200,2079457280,853004288
9999,1743473601456,3100,3101,3100,3101,0.40040040016174316,0.10020039975643158,0.20020020008087158,0.10020039975643158,59525.62634277344,4096,444,14467,29,0,57797.917053222656,190417.32751464844,0,16720314368,4294963200,2079449088,853004288
9999,1743473611457,3100,3101,3100,3101,0.40040040016174316,0.20020020008087158,0.10030090063810349,0.10020039975643158,59534.37384033203,4096,444,14467,29,0,57911.06823730469,190418.45245361328,0,16720314368,4294963200,2081247232,853004288
9999,1743473621457,3100,3101,3100,3101,0.10030090063810349,0,0.20040079951286316,0.30000001192092896,59543.119567871094,4096,444,14467,29,0,58024.197509765625,190419.54638671875,0,16720314368,4294963200,2081239040,853004288
9999,1743473631457,3100,3101,3100,3101,0.40040040016174316,0.20020020008087158,0.10030090063810349,0,59551.869201660156,4096,444,14467,29,0,58137.45080566406,190420.77197265625,0,16720314368,4294963200,2081230848,853004288
9999,1743473641458,3100,3101,3100,3101,0.30000001192092896,0.10020039975643158,0.10020039975643158,0.30060118436813354,59560.616271972656,4096,444,14467,29,0,58250.71240234375,190422.00848388672,0,16720314368,4294963200,2081452032,853004288
9999,1743473651458,3100,3101,3100,3101,0.3003003001213074,0.10020039975643158,0.10020039975643158,0.3003003001213074,59569.366760253906,4096,444,14467,29,0,58364.06903076172,190423.32635498047,0,16720314368,4294963200,2081443840,853004288
9999,1743473661458,3100,3101,3100,3101,0.40040040016174316,0.20000000298023224,0.10030090063810349,0.20020020008087158,59578.114196777344,4096,444,14467,29,0,58477.345275878906,190424.57684326172,0,16720314368,4294963200,2081665024,853004288
9999,1743473671459,3100,3101,3100,3101,0.20040079951286316,0.20020020008087158,0.3003003001213074,0.10010010004043579,59586.862243652344,4096,444,14467,29,0,58590.558654785156,190425.7479248047,0,16720314368,4294963200,2081652736,853004288
9999,1743473681459,3100,3101,3100,3101,0.3003003001213074,0,0.10020039975643158,0.20020020008087158,59595.60467529297,4096,444,14467,29,0,58703.633361816406,190426.7939453125,0,16720314368,4294963200,2081644544,853004288
21,1743473691459,3100,3101,3100,3101,1.600000023841858,1.0040160417556763,1.2048192024230957,1.4042125940322876,59604.420837402344,4096,444,14467,29,0,58818.48895263672,190429.62890625,0,16720314368,4294963200,2062725120,853004288
