Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743374903605,800,800,799,800,4.761904716491699,4.761904716491699,4.545454502105713,4.545454502105713,49735.945739746094,4096,409,19767,34,0,177070.07885742188,169849.96575927734,0,16720343040,4294963200,1252954112,1058480128
9999,1743374903606,800,800,799,800,4.761904716491699,4.761904716491699,4.545454502105713,4.545454502105713,49735.99133300781,4096,409,19767,34,0,177070.63989257813,169850.03436279297,0,16720343040,4294963200,1252302848,1058480128
9999,1743374913606,800,800,799,800,4.67196798324585,4.274353981018066,4.833837032318115,4.68594217300415,49745.27264404297,4096,409,19767,34,0,177192.48211669922,169859.91186523438,0,16720343040,4294963200,1261252608,1055596544
9999,1743374923606,800,800,799,800,14.658634185791016,11.167001724243164,4.568528175354004,24.949899673461914,49756.486877441406,4096,409,19767,34,0,177363.4761352539,169918.87573242188,0,16720343040,4294963200,1448873984,1053499392
9999,1743374933606,800,800,799,800,16.129032135009766,5.030181407928467,7.215446949005127,9.494949340820313,49765.90948486328,4096,410,19767,34,0,177488.80877685547,169932.2875366211,0,16720343040,4294963200,1538871296,1052450816
9999,1743374943606,800,800,799,800,26.108869552612305,20.02012062072754,7.918781757354736,9.036144256591797,49776.69006347656,4096,410,19767,34,0,177661.12927246094,169992.6494140625,0,16720343040,4294963200,1678475264,1051926528
9999,1743374953606,800,800,799,800,13.192346572875977,20.161291122436523,18.375635147094727,12.78952693939209,49787.75817871094,4096,411,19759,34,0,177820.169921875,170039.27740478516,0,16720343040,4294963200,2136031232,1048780800
9999,1743374963606,800,800,799,800,100,100,100,100,49814.54162597656,4096,413,19759,34,0,178306.62646484375,170408.8321533203,0,16720343040,4294963200,2121027584,1048256512
9999,1743374973606,800,800,799,800,100,100,100,100,49841.38946533203,4096,415,19759,34,0,178794.0307006836,170779.29888916016,0,16720343040,4294963200,2090872832,1048256512
9999,1743374983607,800,800,799,800,100,100,100,100,49868.5302734375,4096,415,19767,34,0,179284.59423828125,171152.7738647461,0,16720343040,4294963200,2912833536,1047994368
9999,1743374993607,800,800,799,800,100,100,100,100,49896.93493652344,4096,415,19759,34,0,179785.56341552734,171536.06970214844,0,16720343040,4294963200,2892021760,1047994368
9999,1743375003607,800,800,799,800,100,100,100,100,49925.31756591797,4096,415,20000,34,0,180287.60760498047,171920.45733642578,0,16720343040,4294963200,2866532352,1047732224
9999,1743375013607,800,800,799,800,100,100,100,100,49953.74108886719,4096,415,20000,34,0,180790.76373291016,172305.92987060547,0,16720343040,4294963200,2891239424,1047732224
9999,1743375023607,800,800,799,800,100,100,100,100,49982.071044921875,4096,415,20000,34,0,181295.16943359375,172692.66149902344,0,16720343040,4294963200,2906308608,1047732224
10000,1743375033607,800,800,799,800,100,99.90019989013672,100,100,50010.022033691406,4096,415,19759,34,0,181799.4341430664,173079.41217041016,0,16720343040,4294963200,4361072640,1047470080
9999,1743375043607,800,800,799,800,98.29999542236328,98.29830169677734,100,98.29999542236328,50036.355712890625,4096,415,19759,34,0,182297.0655517578,173460.09344482422,0,16720343040,4294963200,5915443200,1046945792
9999,1743375053607,800,800,799,800,100,100,100,100,50065.839294433594,4096,415,20000,34,0,182804.82092285156,173849.8331298828,0,16720343040,4294963200,5876203520,1046945792
9999,1743375063607,800,800,799,800,99.9000015258789,99.89990234375,100,99.9000015258789,50094.38702392578,4096,415,19759,34,0,183312.3878173828,174239.73864746094,0,16720343040,4294963200,5882601472,1046945792
9999,1743375073607,800,800,799,800,100,100,100,100,50123.81481933594,4096,415,19759,34,0,183821.34814453125,174630.69073486328,0,16720343040,4294963200,5950795776,1046945792
9999,1743375083607,800,800,799,800,99.80020141601563,99.89990234375,100,99.80020141601563,50152.587341308594,4096,415,20000,34,0,184327.20538330078,175018.77478027344,0,16720343040,4294963200,5917392896,1046945792
10000,1743375093607,800,800,799,800,100,100,100,100,50181.822509765625,4096,415,19759,34,0,184836.12817382813,175409.7807006836,0,16720343040,4294963200,5854109696,1046945792
9999,1743375103608,800,800,799,800,100,100,100,100,50211.286193847656,4096,415,19759,34,0,185346.09100341797,175801.71697998047,0,16720343040,4294963200,5833502720,1046945792
9999,1743375113608,800,800,799,800,100,100,100,100,50240.65283203125,4096,415,19518,34,0,185856.30682373047,176193.9571533203,0,16720343040,4294963200,5890686976,1046945792
9999,1743375123608,800,800,799,800,100,100,100,100,50269.98907470703,4096,415,19995,34,0,186366.69091796875,176586.36236572266,0,16720343040,4294963200,5909630976,1046945792
9999,1743375133608,800,800,799,800,100,100,100,100,50299.46014404297,4096,415,19759,34,0,186877.10131835938,176978.7645263672,0,16720343040,4294963200,5766692864,1046945792
9999,1743375143608,800,800,799,800,100,100,100,100,50328.79119873047,4096,415,19759,34,0,187388.18811035156,177371.8427734375,0,16720343040,4294963200,5977198592,1046945792
9999,1743375153608,800,800,799,800,100,100,100,100,50358.079162597656,4096,415,20000,34,0,187897.55584716797,177763.24548339844,0,16720343040,4294963200,5994893312,1046945792
9999,1743375163608,800,800,799,800,100,100,100,100,50387.48095703125,4096,415,19759,34,0,188407.07037353516,178154.7685546875,0,16720343040,4294963200,5916803072,1046945792
10192,1743375173608,800,800,799,800,99.19920349121094,99.19920349121094,100,99.19999694824219,50413.709716796875,4096,415,19759,34,0,188909.49584960938,178540.27221679688,0,16720343040,4294963200,11250143232,1046945792
9907,1743375183893,800,800,799,800,69.28294372558594,72.8502426147461,72.73612976074219,69.79671478271484,50431.29504394531,4096,415,19767,34,0,189250.79907226563,178763.64624023438,0,16720343040,4294963200,16369582080,1480663040
9992,1743375193809,800,800,799,800,51.576805114746094,51.4256591796875,52.044986724853516,57.331974029541016,50445.86657714844,4096,415,19759,34,0,189504.65618896484,178905.73803710938,0,16720343040,4294963200,15604060160,1568305152
9999,1743375203802,800,800,799,800,65.32257843017578,65.12096405029297,62.23350143432617,60.000003814697266,50462.90539550781,4096,415,19767,34,0,189837.40692138672,179124.5433959961,0,16720343040,4294963200,15553925120,1710379008
9999,1743375213802,800,800,799,800,79.89949798583984,76.43505096435547,76.79112243652344,76.67668151855469,50481.23352050781,4096,415,19767,34,0,190222.82989501953,179395.58374023438,0,16720343040,4294963200,16333955072,1684836352
10000,1743375223802,800,800,799,800,99.59960174560547,91.70829010009766,91.80819702148438,92.18437194824219,50503.72918701172,4096,415,20008,34,0,190695.39819335938,179752.52178955078,0,16720343040,4294963200,15754420224,1685622784
9999,1743375233802,800,800,799,800,64.20000457763672,64.2642593383789,64.7532730102539,66.93306732177734,50521.517028808594,4096,415,20250,34,0,191055.56005859375,179998.34436035156,0,16720343040,4294963200,16379469824,1674088448
9999,1743375243802,800,800,799,800,87.88788604736328,86.38639068603516,90.39038848876953,90.69068908691406,50543.675720214844,4096,415,20241,34,0,191505.6279296875,180332.82733154297,0,16720343040,4294963200,14984986624,1672269824
9999,1743375253802,800,800,799,800,92.69268798828125,92.79999542236328,92.78557586669922,99.5999984741211,50565.980407714844,4096,415,19759,34,0,191982.71014404297,180694.3677368164,0,16720343040,4294963200,14134423552,1701482496
9999,1743375263802,800,800,799,800,93.39339447021484,93.39339447021484,93.39339447021484,100,50588.522216796875,4096,415,19759,34,0,192470.1420288086,181066.17822265625,0,16720343040,4294963200,12587511808,1701482496
9999,1743375273802,800,800,799,800,93.4000015258789,93.30669403076172,93.4065933227539,100,50610.983459472656,4096,415,20000,34,0,192956.8251953125,181437.2528076172,0,16720343040,4294963200,11408658432,1714909184
9999,1743375283802,800,800,799,800,96.20000457763672,96.09609985351563,96.59659576416016,100,50634.051208496094,4096,415,20000,34,0,193446.41748046875,181811.0302734375,0,16720343040,4294963200,16103202816,1765699584
9999,1743375293802,800,800,799,800,93.4000015258789,93.49349212646484,93.5064926147461,100,50656.925720214844,4096,415,20000,34,0,193929.591796875,182178.4500732422,0,16720343040,4294963200,15692230656,1765699584
9999,1743375303802,800,800,799,800,93.4000015258789,93.31336975097656,93.4000015258789,100,50679.79504394531,4096,415,19759,34,0,194412.6605834961,182545.76806640625,0,16720343040,4294963200,14888759296,1800171520
9999,1743375313802,800,800,799,800,93.79379272460938,93.39339447021484,93.29328918457031,99.40059661865234,50702.64324951172,4096,415,20000,34,0,194897.44598388672,182914.79541015625,0,16720343040,4294963200,13878837248,1800704000
9999,1743375323803,800,800,799,800,96.10000610351563,93.29328918457031,92.79279327392578,96.5999984741211,50724.997497558594,4096,415,20241,34,0,195383.8214111328,183285.66638183594,0,16720343040,4294963200,12567449600,1825705984
9999,1743375333803,800,800,799,800,94.5,94.40559387207031,94.31137084960938,99.5999984741211,50747.86657714844,4096,415,20241,34,0,195872.4833984375,183658.54376220703,0,16720343040,4294963200,13500030976,1824395264
9999,1743375343803,800,800,799,800,94.81037902832031,94.69469451904297,97.89999389648438,96.5999984741211,50771.084045410156,4096,415,20000,34,0,196357.6658935547,184027.8818359375,0,16720343040,4294963200,15821234176,1821773824
9999,1743375353803,800,800,799,800,93.59358978271484,93.41317749023438,93.49349212646484,100,50794.16296386719,4096,415,20000,34,0,196842.40753173828,184396.74780273438,0,16720343040,4294963200,15425318912,1821773824
9999,1743375363803,800,800,799,800,93.39339447021484,93.38677215576172,92.79999542236328,99.49949645996094,50817.12939453125,4096,415,19759,34,0,197326.14141845703,184764.71673583984,0,16720343040,4294963200,14718324736,1826246656
10000,1743375373803,800,800,799,800,93.39339447021484,96.80000305175781,93.41317749023438,96.50349426269531,50840.03186035156,4096,415,19995,34,0,197811.86096191406,185134.70434570313,0,16720343040,4294963200,13697597440,1840721920
