Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743494855349,3300,3300,3300,3366,20.689655303955078,10.344827651977539,13.333333969116211,13.793103218078613,78185.05364990234,4096,491,19526,32,0,38150.768615722656,196015.9775390625,0,16720314368,4294963200,2058473472,844877824
10000,1743494855349,3300,3300,3300,3366,20.689655303955078,10.344827651977539,13.333333969116211,13.793103218078613,78185.08587646484,4096,491,19526,32,0,38151.221435546875,196016.17559814453,0,16720314368,4294963200,2065698816,844877824
9999,1743494865350,3300,3300,3300,3366,4.491018295288086,3.3864543437957764,2.7162978649139404,3.0876495838165283,78194.06854248047,4096,491,19767,32,1,38270.811584472656,196023.74865722656,0,16720314368,4294963200,2078785536,844877824
9999,1743494875350,3300,3300,3300,3366,0.30060118436813354,0.3003003001213074,0.20161288976669312,0.30090272426605225,78202.85870361328,4096,491,19526,32,0,38384.96203613281,196025.87921142578,0,16720314368,4294963200,2062491648,844877824
9999,1743494885351,3300,3300,3300,3366,0.3003003001213074,0.10020039975643158,0.402414470911026,0.40040040016174316,78211.63958740234,4096,491,19526,32,0,38498.97137451172,196027.8515625,0,16720314368,4294963200,2070978560,844877824
10000,1743494895351,3300,3300,3300,3366,0.30060118436813354,0.20020020008087158,0.3003003001213074,0.30060118436813354,78220.396484375,4096,491,19526,32,0,38612.441955566406,196029.30645751953,0,16720314368,4294963200,2062700544,844877824
9999,1743494905351,3300,3300,3300,3366,0.3003003001213074,0.10020039975643158,0.20040079951286316,0.20040079951286316,78229.14807128906,4096,491,19526,32,0,38725.679443359375,196030.49755859375,0,16720314368,4294963200,2063196160,844877824
9999,1743494915352,3300,3300,3300,3366,0.30060118436813354,0.40040040016174316,0.30060118436813354,0.10020039975643158,78237.90594482422,4096,491,19526,32,0,38839.005126953125,196031.77813720703,0,16720314368,4294963200,2064982016,844877824
9999,1743494925352,3300,3300,3300,3366,0.4000000059604645,0.20020020008087158,0.3003003001213074,0.3003003001213074,78246.6597290039,4096,491,19526,32,0,38952.301818847656,196033.04565429688,0,16720314368,4294963200,2081734656,844877824
9999,1743494935352,3300,3300,3300,3366,0.30060118436813354,0.20040079951286316,0.20040079951286316,0.4008015990257263,78255.4194946289,4096,491,19767,32,0,39065.816345214844,196034.53637695313,0,16720314368,4294963200,2081955840,844877824
9999,1743494945352,3300,3300,3300,3366,0.20060180127620697,0.3003003001213074,0.3018108606338501,0.20020020008087158,78264.1982421875,4096,491,19526,32,0,39179.73858642578,196036.42065429688,0,16720314368,4294963200,2073948160,844877824
9999,1743494955353,3300,3300,3300,3366,0.40040040016174316,0.10020039975643158,0.10040160268545151,0.20020020008087158,78272.9468383789,4096,491,19526,32,0,39293.039001464844,196037.69262695313,0,16720314368,4294963200,2070269952,844877824
9999,1743494965353,3300,3300,3300,3366,0.40040040016174316,0.20000000298023224,0.30000001192092896,0.20040079951286316,78281.70043945313,4096,491,19767,32,0,39406.39630126953,196039.01947021484,0,16720314368,4294963200,2078261248,844877824
9999,1743494975353,3300,3300,3300,3366,0.20060180127620697,0,0.20040079951286316,0.3003003001213074,78290.4536743164,4096,491,19526,32,0,39519.705993652344,196040.30322265625,0,16720314368,4294963200,2078253056,844877824
9999,1743494985354,3300,3300,3300,3366,0.500500500202179,0.20000000298023224,0.20040079951286316,0.30060118436813354,78299.21069335938,4096,491,19526,32,0,39633.05163574219,196041.61199951172,0,16720314368,4294963200,2070245376,844877824
10000,1743494995353,3300,3300,3300,3366,0.30090272426605225,0.3003003001213074,0.10030090063810349,0.20020020008087158,78307.96264648438,4096,491,19526,32,0,39746.345642089844,196042.89727783203,0,16720314368,4294963200,2078466048,844877824
9999,1743495005354,3300,3300,3300,3366,0.20040079951286316,0.10030090063810349,0.402414470911026,0.10030090063810349,78316.74035644531,4096,491,19526,32,0,39860.22277832031,196044.7314453125,0,16720314368,4294963200,2078715904,844877824
9999,1743495015354,3300,3300,3300,3366,0.30060118436813354,0.3003003001213074,0.30060118436813354,0.40040040016174316,78325.50689697266,4096,491,19526,32,0,39974.008239746094,196046.47491455078,0,16720314368,4294963200,2078699520,844877824
9999,1743495025355,3300,3300,3300,3366,0.20020020008087158,0,0.20060180127620697,0.30060118436813354,78334.26147460938,4096,491,19526,32,0,40087.485412597656,196047.92248535156,0,16720314368,4294963200,2078674944,844877824
9999,1743495035355,3300,3300,3300,3366,0.30060118436813354,0.3003003001213074,0.20060180127620697,0.20040079951286316,78343.01586914063,4096,491,19526,32,0,40200.82263183594,196049.22875976563,0,16720314368,4294963200,2078674944,844877824
21,1743495045355,3300,3300,3300,3366,1.7017016410827637,1.4028056859970093,1.5045135021209717,1.0020040273666382,78351.83465576172,4096,491,19526,32,0,40315.728759765625,196052.11614990234,0,16720314368,4294963200,2060980224,844877824
