Run,Energy Consumption (Joules),Execution Time (Seconds)
1,41563.01086425781,990.07916
2,37631.36462402344,810.062
3,37496.834899902344,790.0724
4,37615.04766845703,801.76697
5,37702.40393066406,800.0773
6,37816.688903808594,810.05835
7,37843.72821044922,810.0749
8,38094.808837890625,810.0656
9,37705.210998535156,800.07556
10,38102.43615722656,810.066
11,37453.37976074219,790.07416
12,37819.01708984375,810.0768
13,37685.58337402344,800.08026
14,37747.591796875,800.0732
15,37943.682373046875,810.076
16,38099.715270996094,810.0808
17,37831.21936035156,800.07684
18,37935.01739501953,800.06665
19,37479.759521484375,800.05975
20,38546.92510986328,820.0774
21,37872.992736816406,820.064
22,37788.577880859375,800.07263
23,37467.91033935547,790.07385
24,37854.31689453125,800.0711
25,38033.993408203125,820.05383
26,37586.180236816406,790.08545
27,37678.30126953125,810.0754
28,38012.81494140625,810.0788
29,37401.77380371094,790.0548
30,37625.919372558594,790.074

