Run,Energy Consumption (Joules),Execution Time (Seconds)
1,2045.545166015625,190.05017
2,2043.9879150390625,190.04791
3,2043.0638427734375,190.04732
4,2045.7465209960938,190.05803
5,2043.7750244140625,190.05536
6,2045.2427978515625,190.04745
7,2048.3720703125,190.05054
8,2043.7246704101562,190.06967
9,2044.794677734375,190.07199
10,2043.6301879882812,190.04472
11,2045.0389404296875,190.05598
12,2044.10986328125,190.05003
13,2043.2920532226562,190.05124
14,2043.3233032226562,190.05038
15,2042.5447387695312,190.05037
16,2044.6017456054688,190.04884
17,2043.7296142578125,190.05026
18,2045.4841918945312,190.04396
19,2043.4459228515625,190.0523
20,2044.953125,190.04729
21,2042.7073974609375,190.0568
22,2044.1707153320312,190.05722
23,2045.5936279296875,190.05026
24,2044.68701171875,190.04973
25,2045.9804077148438,190.05022
26,2043.2620239257812,190.05032
27,2043.8790893554688,190.04973
28,2045.6519165039062,190.05405
29,2044.1436767578125,190.04448
30,2045.6430053710938,190.04709
