Run,Energy Consumption (Joules),Execution Time (Seconds)
1,38579.46337890625,850.0578
2,39248.47985839844,900.07776
3,38421.78466796875,840.07556
4,37780.99444580078,820.06323
5,38117.22888183594,840.0601
6,38463.922607421875,830.071
7,38308.44494628906,860.0559
8,38443.18280029297,840.07166
9,38781.37127685547,860.0837
10,37549.10565185547,810.07434
11,38693.49481201172,860.0602
12,39059.123596191406,890.05725
13,38394.50305175781,850.05493
14,38488.34765625,860.06525
15,38103.425720214844,830.0741
16,37321.510498046875,820.0608
17,37876.991455078125,820.06726
18,38239.756286621094,830.0664
19,38396.16296386719,870.06104
20,38536.38562011719,860.0826
21,38086.891357421875,850.19794
22,38806.741943359375,880.27435
23,38156.530212402344,840.4548
24,38210.83953857422,830.0584
25,37994.56774902344,840.0616
26,38082.642028808594,840.07465
27,38760.92346191406,900.1734
28,38678.52294921875,890.4718
29,38245.62951660156,830.1286
30,37993.215393066406,820.0778

