Run,Energy Consumption (Joules),Execution Time (Seconds)
1,39142.152893066406,890.4167
2,38659.47619628906,850.0654
3,38320.41076660156,830.07416
4,38440.83477783203,850.26624
5,38099.429931640625,820.0786
6,38394.74401855469,830.0745
7,38550.85021972656,830.0807
8,38573.952392578125,830.072
9,38073.350036621094,810.0711
10,38705.65057373047,850.2023
11,38478.43603515625,830.0748
12,38515.401611328125,860.57733
13,38230.80841064453,830.0767
14,39121.238037109375,860.28674
15,38376.702087402344,830.072
16,38725.125,870.08044
17,38293.277099609375,830.0769
18,38346.46496582031,840.0765
19,38024.463317871094,820.07623
20,38737.11785888672,840.05554
21,38606.22869873047,840.0673
22,38569.788146972656,840.07025
23,37986.4560546875,810.0744
24,38310.584533691406,870.3451
25,38342.04803466797,840.0717
26,38972.82580566406,870.0755
27,39326.74609375,930.4877
28,38479.461486816406,850.0751
29,38604.343811035156,850.07715
30,38319.552307128906,830.07056
