Run,Energy Consumption (Joules),Execution Time (Seconds)
1,2045.509521484375,190.05032
2,2044.5436401367188,190.05025
3,2043.64892578125,190.04732
4,2045.0847778320312,190.056
5,2043.2504272460938,190.05048
6,2045.6317138671875,190.05128
7,2046.0352783203125,190.05186
8,2045.5618286132812,190.05547
9,2044.5851440429688,190.05617
10,2043.1788940429688,190.04771
11,2044.7886962890625,190.04932
12,2043.4805297851562,190.04756
13,2045.5608520507812,190.0509
14,2044.3082275390625,190.05087
15,2043.3341674804688,190.04811
16,2043.164306640625,190.07243
17,2011.7315063476562,190.04787
18,2045.8394775390625,190.05736
19,2045.5227661132812,190.05188
20,2045.5489501953125,190.05043
21,2043.967529296875,190.0501
22,2043.4515991210938,190.0473
23,2044.9379272460938,190.04999
24,2043.5796508789062,190.05351
25,2045.670654296875,190.06299
26,2045.376708984375,190.05034
27,2043.6195068359375,190.05399
28,2043.3366088867188,190.04959
29,2043.2322387695312,190.05318
30,2045.1974487304688,190.0585

