Run,Energy Consumption (Joules),Execution Time (Seconds)
1,37540.493225097656,810.04614
2,37328.32849121094,790.0661
3,38307.924072265625,840.07477
4,37248.58905029297,810.103
5,37901.565185546875,840.0782
6,37202.14276123047,830.0794
7,37309.44885253906,810.0799
8,36857.823791503906,780.06866
9,38069.990295410156,840.0569
10,37498.09832763672,820.07526
11,37059.975524902344,780.0758
12,37349.857360839844,800.0526
13,37748.064880371094,810.0744
14,36951.503967285156,790.06116
15,37379.79071044922,800.0759
16,37416.09094238281,820.0759
17,37398.7177734375,790.0733
18,37379.19696044922,810.0682
19,37121.342224121094,800.0746
20,38026.428161621094,820.05237
21,37255.136779785156,810.0782
22,36990.46740722656,790.08167
23,37259.97149658203,790.07776
24,37244.39208984375,790.0616
25,37679.48956298828,800.0726
26,37847.645080566406,860.06134
27,38240.560974121094,820.065
28,37345.636779785156,790.07306
29,37068.565979003906,780.0806
30,36949.553664285559,795.06146
