Run,Energy Consumption (Joules),Execution Time (Seconds)
1,2050.8323364257812,190.0473
2,2051.4413452148438,190.05034
3,2046.2723388671875,190.04886
4,2049.0333862304688,190.0483
5,2047.788330078125,190.05241
6,2049.78173828125,190.05663
7,2045.6851196289062,190.05164
8,2046.2822265625,190.04651
9,2047.125244140625,190.0478
10,2046.4628295898438,190.05028
11,2049.153076171875,190.05058
12,2045.8346557617188,190.05013
13,2047.0563354492188,190.07567
14,2046.3046875,190.05031
15,2046.398193359375,190.05118
16,2047.3079223632812,190.04974
17,2047.5221557617188,190.05573
18,2049.3417358398438,190.04926
19,2048.1057739257812,190.05098
20,2047.846435546875,190.0485
21,2046.1594848632812,190.05122
22,2049.0582275390625,190.05075
23,2050.862060546875,190.04822
24,2046.6732788085938,190.04858
25,2046.7607421875,190.05
26,2047.6591796875,190.04955
27,2047.5774536132812,190.05035
28,2048.2219848632812,190.04832
29,2046.8150634765625,190.05037
30,2048.4364624023438,190.04898
