Run,Energy Consumption (Joules),Execution Time (Seconds)
1,39287.97509765625,920.15106
2,38483.459533691406,860.07416
3,38354.21630859375,850.5285
4,38824.63153076172,860.0711
5,38914.741149902344,880.0683
6,38533.913818359375,851.1154
7,38882.40887451172,880.0721
8,38456.114318847656,850.0759
9,38586.13153076172,850.07306
10,38535.23596191406,850.06915
11,38661.98858642578,840.0752
12,38699.3017578125,850.05334
13,38705.093322753906,860.2978
14,38432.592224121094,850.07227
15,39251.01904296875,900.126
16,38185.263122558594,830.1123
17,38233.09558105469,820.082
18,37941.14471435547,810.0806
19,38927.80615234375,860.1033
20,38196.651611328125,820.08765
21,38181.777282714844,820.10406
22,37786.75714111328,810.0741
23,38244.42755126953,830.06006
24,38265.108154296875,820.07526
25,38276.58837890625,840.0754
26,38353.771728515625,840.0733
27,38319.602294921875,820.07697
28,38137.19592285156,830.0794
29,38302.0732421875,830.0762
