Run,Energy Consumption (Joules),Execution Time (Seconds)
1,2049.2998657226562,190.05133
2,2048.3024291992188,190.04865
3,2046.546630859375,190.05338
4,2048.384765625,190.04909
5,2047.218505859375,190.05612
6,2046.6448364257812,190.04836
7,2046.292236328125,190.0483
8,2047.5471801757812,190.05032
9,2049.0199584960938,190.05075
10,2047.671875,190.05031
11,2048.1900024414062,190.048
12,2046.4664916992188,190.05618
13,2045.4750366210938,190.05043
14,2049.1354370117188,190.05019
15,2048.5510864257812,190.05113
16,2048.8080444335938,190.04996
17,2047.2299194335938,190.04974
18,2046.6687622070312,190.05035
19,2045.6343994140625,190.0513
20,2045.9014282226562,190.0483
21,2048.9739379882812,190.05035
22,2049.3452758789062,190.05113
23,2048.2965698242188,190.05627
24,2046.6881103515625,190.04802
25,2044.2894287109375,190.07439
26,2044.131103515625,190.07303
27,2043.7747192382812,190.0502
28,2046.23779296875,190.05113
29,2044.5694580078125,190.05585
30,2043.1153564453125,190.0516
