Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742889532145,800,800,800,800,4.545454502105713,4.761904716491699,4.761904716491699,4.545454502105713,164688.744140625,4096,364,19767,34,0,230056.26220703125,21967.550231933594,0,16720330752,4294963200,1143140352,1224306688
10000,1742889532145,800,800,800,800,4.545454502105713,4.761904716491699,4.761904716491699,4.545454502105713,164688.79248046875,4096,364,19767,34,0,230056.8563232422,21967.629821777344,0,16720330752,4294963200,1143140352,1224306688
9999,1742889542146,800,800,800,800,7.3412699699401855,6.274900436401367,3.880596876144409,2.081268548965454,164698.0747680664,4096,364,19767,34,0,230178.14923095703,21976.943969726563,0,16720330752,4294963200,1149775872,1222995968
9999,1742889552146,800,800,800,800,1.4070351123809814,27.272727966308594,8.835341453552246,9.949748992919922,164707.6356201172,4096,364,19526,34,0,230317.13262939453,22003.994018554688,0,16720330752,4294963200,1418391552,1222995968
9999,1742889562146,800,800,800,800,64.29287719726563,64.15663146972656,80.64192199707031,64.36436462402344,164728.26287841797,4096,364,19759,34,0,230676.931640625,22248.72283935547,0,16720330752,4294963200,1924349952,1222995968
9999,1742889572146,800,800,800,800,100,100,100,100,164755.2801513672,4096,364,20008,34,0,231162.63470458984,22617.436157226563,0,16720330752,4294963200,1828032512,1222995968
9999,1742889582146,800,800,800,800,100,100,100,100,164782.22204589844,4096,364,19759,34,0,231647.7730102539,22985.60662841797,0,16720330752,4294963200,1822076928,1222733824
9999,1742889592146,800,800,800,800,100,100,100,100,164809.99822998047,4096,364,19759,34,0,232142.43017578125,23362.882263183594,0,16720330752,4294963200,2673819648,1222733824
9999,1742889602146,800,800,800,800,100,100,100,100,164838.3280029297,4096,364,19759,34,0,232642.8623046875,23745.66485595703,0,16720330752,4294963200,2668523520,1222733824
9999,1742889612146,800,800,800,800,99.90010070800781,100,99.90010070800781,100,164865.30767822266,4096,364,20000,34,0,233129.45782470703,24115.08477783203,0,16720330752,4294963200,2776510464,1221160960
9999,1742889622146,800,800,800,800,100,100,100,100,164893.7296142578,4096,364,20000,34,0,233632.38244628906,24500.286865234375,0,16720330752,4294963200,2652569600,1221160960
9999,1742889632146,800,800,800,800,100,100,100,100,164922.06030273438,4096,364,20241,34,0,234136.36645507813,24886.637939453125,0,16720330752,4294963200,2624483328,1220898816
9999,1742889642146,800,800,800,800,99.0999984741211,100,99.0999984741211,98.9990005493164,164948.55987548828,4096,364,20000,34,0,234635.0767211914,25268.34637451172,0,16720330752,4294963200,5359321088,1220636672
9999,1742889652146,800,800,800,800,99,100,99.0990982055664,99.0999984741211,164976.34564208984,4096,364,19759,34,0,235139.0987548828,25654.965087890625,0,16720330752,4294963200,5640208384,1220636672
9999,1742889662146,800,800,800,800,100,100,100,100,165005.81756591797,4096,364,19754,34,0,235646.71600341797,26044.57489013672,0,16720330752,4294963200,5766029312,1220636672
10002,1742889672146,800,800,800,800,100,100,100,100,165035.1317138672,4096,364,19759,34,0,236154.05743408203,26433.963623046875,0,16720330752,4294963200,5805875200,1220636672
9999,1742889682149,800,800,800,800,100,100,100,100,165064.34564208984,4096,364,19754,34,0,236662.37573242188,26824.343505859375,0,16720330752,4294963200,5669806080,1220636672
9999,1742889692149,800,800,800,800,99.9000015258789,100,99.90010070800781,99.9000015258789,165093.32775878906,4096,364,19754,34,0,237171.154296875,27215.259887695313,0,16720330752,4294963200,5503016960,1220636672
9999,1742889702149,800,800,800,800,100,100,99.9000015258789,100,165122.4852294922,4096,364,19759,34,0,237680.91473388672,27607.118286132813,0,16720330752,4294963200,5735358464,1220636672
9999,1742889712149,800,800,800,800,100,100,100,100,165151.62225341797,4096,364,20000,34,0,238188.30010986328,27996.60968017578,0,16720330752,4294963200,5712146432,1220636672
9999,1742889722149,800,800,800,800,99.89990234375,100,99.89990234375,99.80000305175781,165180.0233154297,4096,364,20000,34,0,238695.73724365234,28386.424743652344,0,16720330752,4294963200,5498003456,1220636672
9999,1742889732149,800,800,800,800,100,100,100,100,165208.96392822266,4096,364,20000,34,0,239204.52764892578,28777.39422607422,0,16720330752,4294963200,5844418560,1220636672
9999,1742889742149,800,800,800,800,100,100,100,100,165238.0014038086,4096,364,19754,34,0,239712.45135498047,29167.4541015625,0,16720330752,4294963200,5702639616,1220636672
9999,1742889752149,800,800,800,800,99.80020141601563,100,99.80000305175781,99.80020141601563,165266.34576416016,4096,364,19759,34,0,240220.73895263672,29558.140625,0,16720330752,4294963200,5323321344,1220374528
9999,1742889762149,800,800,800,800,99.59960174560547,100,99.60039520263672,99.69939422607422,165294.58129882813,4096,364,19759,34,0,240725.93463134766,29945.77099609375,0,16720330752,4294963200,5740425216,1220374528
9999,1742889772150,800,800,800,800,99.80000305175781,100,99.79979705810547,99.70030212402344,165322.6395263672,4096,364,20000,34,0,241233.11303710938,30335.441284179688,0,16720330752,4294963200,5741072384,1220374528
9999,1742889782150,800,800,800,800,98.9000015258789,100,98.9000015258789,98.9000015258789,165347.7586669922,4096,364,19759,34,0,241735.03936767578,30720.849548339844,0,16720330752,4294963200,11764383744,1220374528
9999,1742889792150,800,800,800,800,63.66366195678711,62.08626174926758,60.56056213378906,64.39318084716797,165365.05535888672,4096,364,20000,34,0,242074.34619140625,30945.958618164063,0,16720330752,4294963200,11408584704,1464922112
9999,1742889802150,800,800,800,800,97.89999389648438,94.49449157714844,94.30569458007813,94.5,165387.44232177734,4096,364,19767,34,0,242555.75048828125,31311.73095703125,0,16720330752,4294963200,16284192768,1534578688
9999,1742889812150,800,800,800,800,99.0990982055664,91.99198913574219,91.9000015258789,92,165409.541015625,4096,364,19759,34,0,243029.2661743164,31669.724548339844,0,16720330752,4294963200,15405449216,1534578688
9999,1742889822150,800,800,800,800,100,92.79999542236328,92.89289093017578,92.89289093017578,165431.7904663086,4096,364,19759,34,0,243513.935546875,32038.87384033203,0,16720330752,4294963200,14416027648,1534578688
9999,1742889832150,800,800,800,800,100,93.0999984741211,93,93.00698852539063,165453.96228027344,4096,364,19518,34,0,244001.78155517578,32411.21563720703,0,16720330752,4294963200,12787957760,1534668800
9999,1742889842150,800,800,800,800,100,93.09309387207031,93.0999984741211,93.09309387207031,165476.17614746094,4096,364,19759,34,0,244489.25170898438,32783.161193847656,0,16720330752,4294963200,11196252160,1534406656
9999,1742889852150,800,800,800,800,100,96.4000015258789,96.4000015258789,96.4000015258789,165499.1235961914,4096,364,20000,34,0,244979.64178466797,33157.759338378906,0,16720330752,4294963200,16332705792,1534406656
9999,1742889862150,800,800,800,800,100,93.0999984741211,93,93,165521.7410888672,4096,364,19759,34,0,245462.28802490234,33524.71520996094,0,16720330752,4294963200,15649529856,1534406656
9999,1742889872150,800,800,800,800,100,93.09309387207031,93.09309387207031,93.09309387207031,165544.12158203125,4096,364,19759,34,0,245947.287109375,33894.12878417969,0,16720330752,4294963200,14804209664,1534930944
9999,1742889882150,800,800,800,800,98.69869995117188,91.99198913574219,92.5,93.11377716064453,165566.82513427734,4096,364,19759,34,0,246431.18756103516,34262.337341308594,0,16720330752,4294963200,13106368512,1534930944
9999,1742889892150,800,800,800,800,93.0999984741211,100,93.19319152832031,93.18637084960938,165589.17156982422,4096,364,19759,34,0,246918.7290649414,34634.29479980469,0,16720330752,4294963200,11670990848,1535193088
9999,1742889902151,800,800,800,800,96.00399780273438,99.70030212402344,96.10389709472656,96.70330047607422,165612.39208984375,4096,364,19767,34,0,247408.73956298828,35008.368225097656,0,16720330752,4294963200,16544903168,1535193088
9999,1742889912151,800,800,800,800,100,93.09309387207031,93.00698852539063,93.09309387207031,165635.1019897461,4096,364,19759,34,0,247890.5180053711,35374.445861816406,0,16720330752,4294963200,15524003840,1537822720
9999,1742889922151,800,800,800,800,100,93.0999984741211,93.19319152832031,93.0999984741211,165657.82000732422,4096,364,19754,34,0,248375.54522705078,35743.78234863281,0,16720330752,4294963200,14658564096,1537822720
10000,1742889932151,800,800,800,800,93.09309387207031,99.29999542236328,92.9000015258789,93.19999694824219,165680.38708496094,4096,364,19767,34,0,248859.4473876953,36112.07116699219,0,16720330752,4294963200,13703540736,1537560576
9968,1742889942182,800,800,800,800,92.9212417602539,92.32302856445313,99.60079956054688,93.22034454345703,165703.005859375,4096,364,19759,34,0,249346.94702148438,36483.54052734375,0,16720330752,4294963200,11582328832,1547907072
9999,1742889952151,800,800,800,800,96.18473815917969,96.18473815917969,100,96.18856048583984,165725.9208984375,4096,364,19518,34,0,249836.04461669922,36857.23809814453,0,16720330752,4294963200,16236670976,1547907072
9999,1742889962151,800,800,800,800,93.39339447021484,93.4000015258789,100,93.30000305175781,165748.58172607422,4096,364,19759,34,0,250319.6981201172,37225.181640625,0,16720330752,4294963200,15891095552,1547907072
9999,1742889972151,800,800,800,800,92.79999542236328,96,95.5,92.79999542236328,165771.1552734375,4096,364,20000,34,0,250800.58709716797,37590.467346191406,0,16720330752,4294963200,14505484288,1658245120
9999,1742889982151,800,800,800,800,93.19999694824219,100,93.19999694824219,93.19319152832031,165793.77001953125,4096,364,19767,34,0,251288.58325195313,37962.79705810547,0,16720330752,4294963200,13462667264,1658245120
9999,1742889992151,800,800,800,800,93.30000305175781,100,93.20679473876953,93.30000305175781,165816.23864746094,4096,364,19526,34,0,251776.77026367188,38335.3955078125,0,16720330752,4294963200,12196806656,1657982976
9999,1742890002151,800,800,800,800,95.8958969116211,99.9000015258789,95.89178466796875,95.80000305175781,165839.0548095703,4096,364,19518,34,0,252269.45849609375,38712.28259277344,0,16720330752,4294963200,15321284608,1657982976
