Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743479961980,3301,3300,3300,3304,13.793103218078613,17.241378784179688,13.793103218078613,13.333333969116211,65115.616638183594,4096,444,14467,29,0,131076.75494384766,192441.87072753906,0,16720314368,4294963200,2079203328,852742144
10000,1743479961980,3301,3300,3300,3304,13.793103218078613,17.241378784179688,13.793103218078613,13.333333969116211,65115.652282714844,4096,444,14467,29,0,131077.24450683594,192442.09045410156,0,16720314368,4294963200,2078601216,852742144
9999,1743479971981,3301,3300,3300,3304,2.1956088542938232,2.6892430782318115,2.7916250228881836,2.4925224781036377,65124.525817871094,4096,444,14709,29,4,131194.08203125,192446.8921508789,0,16720314368,4294963200,2096144384,852742144
9999,1743479981981,3301,3300,3300,3304,0.500500500202179,0.10020039975643158,0.10030090063810349,0.10020039975643158,65133.2802734375,4096,444,14467,29,0,131307.388671875,192448.16534423828,0,16720314368,4294963200,2096136192,852742144
9999,1743479991982,3301,3300,3300,3304,0.40040040016174316,0.20020020008087158,0.20020020008087158,0.3003003001213074,65142.03234863281,4096,444,14467,29,0,131420.60675048828,192449.33905029297,0,16720314368,4294963200,2090778624,852742144
9999,1743480001982,3301,3300,3300,3304,0.40120360255241394,0.20020020008087158,0.20040079951286316,0.10030090063810349,65150.78643798828,4096,444,14467,29,0,131533.94110107422,192450.64141845703,0,16720314368,4294963200,2091245568,852742144
9999,1743480011982,3301,3300,3300,3304,0.40040040016174316,0.20040079951286316,0.30060118436813354,0,65159.5478515625,4096,444,14467,29,0,131647.63427734375,192452.30041503906,0,16720314368,4294963200,2091941888,852742144
9999,1743480021982,3301,3300,3300,3304,0.40040040016174316,0.3003003001213074,0.20020020008087158,0.20020020008087158,65168.299377441406,4096,444,14467,29,0,131760.9112548828,192453.54028320313,0,16720314368,4294963200,2090844160,852742144
9999,1743480031983,3301,3300,3300,3304,0.6012023687362671,0.20040079951286316,0.20040079951286316,0.30060118436813354,65177.05847167969,4096,444,14467,29,0,131874.24810791016,192454.8319091797,0,16720314368,4294963200,2091044864,852742144
9999,1743480041983,3301,3300,3300,3304,0.4008015990257263,0.20020020008087158,0.20020020008087158,0.20000000298023224,65185.809814453125,4096,444,14467,29,0,131987.5858154297,192456.13256835938,0,16720314368,4294963200,2090758144,852742144
9999,1743480051983,3301,3300,3300,3304,2.0060179233551025,1.3013012409210205,1.903807520866394,1.0050251483917236,65194.63055419922,4096,444,14467,28,0,132102.70654296875,192459.22998046875,0,16720314368,4294963200,2085593088,852742144
9999,1743480061984,3301,3300,3300,3304,0.3003003001213074,0.20060180127620697,0.20060180127620697,0.20000000298023224,65203.391052246094,4096,444,14467,29,0,132216.2017211914,192460.6781616211,0,16720314368,4294963200,2085801984,852742144
9999,1743480071984,3301,3300,3300,3304,0.30060118436813354,0.20020020008087158,0.10030090063810349,0.20040079951286316,65212.14764404297,4096,444,14467,29,0,132329.57342529297,192462.01696777344,0,16720314368,4294963200,2094297088,852742144
9999,1743480081984,3301,3300,3300,3304,0.40040040016174316,0.20020020008087158,0.20040079951286316,0.10020039975643158,65220.898681640625,4096,444,14467,29,0,132442.80194091797,192463.20971679688,0,16720314368,4294963200,2085126144,852742144
9999,1743480091985,3301,3300,3300,3304,0.30090272426605225,0.30000001192092896,0.30060118436813354,0.3003003001213074,65229.65515136719,4096,444,14467,29,0,132556.21942138672,192464.57818603516,0,16720314368,4294963200,2093621248,852742144
9999,1743480101985,3301,3300,3300,3304,0.4000000059604645,0.20020020008087158,0.10020039975643158,0.10020039975643158,65238.403747558594,4096,444,14467,29,0,132669.5404663086,192465.8589477539,0,16720314368,4294963200,2085601280,852742144
9999,1743480111985,3301,3300,3300,3304,0.3003003001213074,0.20020020008087158,0.20060180127620697,0.4000000059604645,65247.158142089844,4096,444,14467,29,0,132782.9418334961,192467.2218017578,0,16720314368,4294963200,2086100992,852742144
10000,1743480121985,3301,3300,3300,3304,0.30060118436813354,0.20040079951286316,0.5,0.3003003001213074,65255.914794921875,4096,444,14467,28,0,132896.32818603516,192468.55529785156,0,16720314368,4294963200,2086813696,852742144
9999,1743480131986,3301,3300,3300,3304,0.3003003001213074,0.20000000298023224,0.20060180127620697,0.20000000298023224,65264.6650390625,4096,444,14467,29,0,133009.59716796875,192469.78924560547,0,16720314368,4294963200,2086793216,852742144
9999,1743480141986,3301,3300,3300,3304,0.3003003001213074,0.10010010004043579,0.3003003001213074,0.10020039975643158,65273.412841796875,4096,444,14467,28,0,133122.79022216797,192470.94702148438,0,16720314368,4294963200,2087022592,852742144
22,1743480151986,3301,3300,3300,3304,1.4042125940322876,1.5015015602111816,1.0040160417556763,1.3026052713394165,65282.231201171875,4096,444,14467,29,0,133238.01287841797,192474.12335205078,0,16720314368,4294963200,2081931264,852742144
