Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742906393103,800,800,799,800,0,4.761904716491699,4.761904716491699,4.545454502105713,202504.755859375,4096,420,19767,36,0,179230.46978759766,38119.907653808594,0,16720330752,4294963200,1140527104,1158553600
10000,1742906393103,800,800,799,800,0,4.761904716491699,4.761904716491699,4.545454502105713,202504.79815673828,4096,420,19767,36,0,179231.0093383789,38119.978759765625,0,16720330752,4294963200,1141002240,1158553600
9999,1742906403104,800,800,799,800,5.278884410858154,7.028112411499023,10.865191459655762,6.181455612182617,202514.28857421875,4096,420,20008,36,1,179357.97039794922,38134.98083496094,0,16720330752,4294963200,1261096960,1156980736
9999,1742906413104,800,800,799,800,27.236181259155273,34.138973236083984,27.18154525756836,53.21931838989258,202528.65979003906,4096,420,20008,36,0,179593.4686279297,38257.233459472656,0,16720330752,4294963200,1801822208,1156980736
9999,1742906423104,800,800,799,800,100,100,100,100,202556.0590209961,4096,420,20008,36,0,180081.501953125,38628.081115722656,0,16720330752,4294963200,1780113408,1156980736
9999,1742906433104,800,800,799,800,100,100,100,100,202583.42114257813,4096,420,19767,36,0,180569.12475585938,38998.579345703125,0,16720330752,4294963200,1760550912,1156980736
9999,1742906443104,800,800,799,800,100,100,100,100,202611.228515625,4096,420,19285,36,0,181063.69854736328,39375.80303955078,0,16720330752,4294963200,2662150144,1156980736
9999,1742906453104,800,800,799,800,100,100,100,100,202640.1527709961,4096,420,19526,36,0,181569.53845214844,39763.782165527344,0,16720330752,4294963200,2587783168,1156718592
9999,1742906463104,800,800,799,800,100,100,100,100,202669.12329101563,4096,420,20008,36,0,182076.12939453125,40152.50909423828,0,16720330752,4294963200,2574483456,1156194304
9999,1742906473104,800,800,799,800,100,100,100,100,202698.0421142578,4096,420,19759,36,0,182583.9530029297,40542.47344970703,0,16720330752,4294963200,2586116096,1156194304
9999,1742906483104,800,800,799,800,100,100,100,100,202727.09210205078,4096,420,20008,36,0,183093.4560546875,40934.060485839844,0,16720330752,4294963200,2557460480,1156194304
9999,1742906493104,800,800,799,800,99.5,99.40059661865234,99.5,100,202754.16918945313,4096,420,20008,36,0,183599.24536132813,41322.6337890625,0,16720330752,4294963200,5406158848,1155932160
9999,1742906503104,800,800,799,800,98.29999542236328,98.30169677734375,98.29999542236328,100,202781.0414428711,4096,420,20000,36,0,184102.17681884766,41708.46807861328,0,16720330752,4294963200,5462077440,1155670016
9999,1742906513104,800,800,799,800,99.69999694824219,99.69999694824219,99.69999694824219,100,202809.76232910156,4096,420,19759,36,0,184611.87573242188,42100.404357910156,0,16720330752,4294963200,5691379712,1155670016
9999,1742906523105,800,800,799,800,100,100,100,100,202838.80297851563,4096,420,20000,36,0,185123.5894165039,42494.18310546875,0,16720330752,4294963200,5645611008,1155670016
9999,1742906533105,800,800,799,800,99.60039520263672,99.60039520263672,99.5999984741211,100,202867.2098388672,4096,420,20008,36,0,185634.59173583984,42887.589416503906,0,16720330752,4294963200,5744041984,1155670016
9999,1742906543105,800,800,799,800,99.9000015258789,99.9000015258789,99.90010070800781,100,202896.60650634766,4096,420,19759,36,0,186147.65716552734,43282.584533691406,0,16720330752,4294963200,5655773184,1155670016
9999,1742906553105,800,800,799,800,99.69969940185547,99.69999694824219,99.69969940185547,100,202925.29064941406,4096,420,19767,36,0,186657.2296142578,43674.401306152344,0,16720330752,4294963200,5687005184,1155670016
9999,1742906563105,800,800,799,800,99.5999984741211,99.5999984741211,99.5999984741211,100,202953.70416259766,4096,420,20000,36,0,187168.53033447266,44068.04479980469,0,16720330752,4294963200,5409005568,1155670016
9999,1742906573105,800,800,799,800,99.70059967041016,99.79979705810547,99.70030212402344,100,202982.31787109375,4096,420,20008,36,0,187679.97369384766,44461.75860595703,0,16720330752,4294963200,5691940864,1155407872
9999,1742906583105,800,800,799,800,99.90010070800781,99.90010070800781,99.9000015258789,100,203011.42724609375,4096,420,20000,36,0,188191.88049316406,44855.75744628906,0,16720330752,4294963200,5586714624,1155407872
9999,1742906593105,800,800,799,800,99.89979553222656,99.80000305175781,99.89990234375,100,203039.9560546875,4096,420,19759,36,0,188703.3775024414,45249.56512451172,0,16720330752,4294963200,5441974272,1155407872
10000,1742906603105,800,800,799,800,99.90010070800781,99.9000015258789,99.9000015258789,100,203068.46154785156,4096,420,19767,36,0,189216.0242919922,45644.51110839844,0,16720330752,4294963200,5615562752,1155407872
9999,1742906613105,800,800,799,800,99.69999694824219,99.79979705810547,99.90010070800781,99.89990234375,203097.0629272461,4096,420,20000,36,0,189725.5880126953,46036.32012939453,0,16720330752,4294963200,5938790400,1155407872
9999,1742906623105,800,800,799,800,99.80000305175781,99.80020141601563,100,99.80020141601563,203125.88079833984,4096,420,20000,36,0,190238.2349243164,46431.17834472656,0,16720330752,4294963200,5540782080,1155407872
9999,1742906633105,800,800,799,800,99.0999984741211,99.0999984741211,100,99.0990982055664,203151.5728149414,4096,420,20249,36,0,190744.4610595703,46820.684631347656,0,16720330752,4294963200,11132960768,1155407872
9999,1742906643105,800,800,799,800,79.27928161621094,82.14643859863281,84.11589050292969,79.4000015258789,203172.23858642578,4096,420,19767,36,0,191166.0747680664,47127.11437988281,0,16720330752,4294963200,14635601920,1157201920
9999,1742906653106,800,800,799,800,93.19319152832031,93.19999694824219,100,93.19999694824219,203194.56518554688,4096,420,20008,36,0,191656.95581054688,47502.392028808594,0,16720330752,4294963200,12788019200,1157201920
9999,1742906663106,800,800,799,800,96.4000015258789,93.4065933227539,96.60340118408203,93.0999984741211,203216.9658203125,4096,420,19759,36,0,192147.9965209961,47877.829528808594,0,16720330752,4294963200,11351412736,1158512640
9999,1742906673106,800,800,799,800,99.90010070800781,96.5,96.39640045166016,96.4000015258789,203240.00909423828,4096,420,19767,36,0,192643.9208984375,48257.899963378906,0,16720330752,4294963200,16420753408,1158250496
9999,1742906683106,800,800,799,800,97,93.38677215576172,93.30000305175781,96.69999694824219,203262.86029052734,4096,420,20008,36,0,193130.67419433594,48628.88446044922,0,16720330752,4294963200,15627677696,1220960256
9999,1742906693106,800,800,799,800,93.09309387207031,93.5064926147461,93.49349212646484,99.0999984741211,203285.8778076172,4096,420,19759,36,0,193617.9530029297,49000.337829589844,0,16720330752,4294963200,15249096704,1220960256
9999,1742906703106,800,800,799,800,95.9000015258789,93.49349212646484,93.21356964111328,96.5999984741211,203309.07293701172,4096,420,19767,36,0,194105.51611328125,49372.042724609375,0,16720330752,4294963200,14233624576,1255317504
9999,1742906713106,800,800,799,800,93.9000015258789,93.9000015258789,100,93.90608978271484,203331.9077758789,4096,420,19767,36,0,194599.58319091797,49750.38983154297,0,16720330752,4294963200,12986728448,1255317504
