Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743460439675,3374,3320,3398,3304,13.793103218078613,13.793103218078613,17.241378784179688,16.129032135009766,47958.62664794922,4096,489,19285,33,0,168707.64990234375,186623.21282958984,0,16720314368,4294963200,2007191552,858247168
10000,1743460439675,3374,3320,3398,3304,13.793103218078613,13.793103218078613,17.241378784179688,16.129032135009766,47958.655700683594,4096,489,19285,33,0,168708.09466552734,186623.43884277344,0,16720314368,4294963200,1999564800,858247168
9999,1743460449676,3374,3320,3398,3304,2.395209789276123,2.3928215503692627,2.7190332412719727,2.6892430782318115,47967.57995605469,4096,489,19526,33,1,168826.36279296875,186629.6649169922,0,16720314368,4294963200,2013073408,858247168
9999,1743460459676,3374,3320,3398,3304,0.10020039975643158,0.10020039975643158,0.402010053396225,0.5010020136833191,47976.360107421875,4096,489,19526,33,0,168940.36456298828,186631.63903808594,0,16720314368,4294963200,1996808192,858247168
9999,1743460469676,3374,3320,3398,3304,0.10010010004043579,0.30060118436813354,0.3003003001213074,0.3003003001213074,47985.10778808594,4096,489,19285,33,0,169053.4422607422,186632.68322753906,0,16720314368,4294963200,1995747328,858247168
9999,1743460479677,3374,3320,3398,3304,0.10020039975643158,0.3003003001213074,0.10030090063810349,0.30060118436813354,47993.857421875,4096,489,19285,34,0,169166.5975341797,186633.80255126953,0,16720314368,4294963200,1995980800,858247168
9999,1743460489677,3374,3320,3398,3304,0.20020020008087158,0,0.10020039975643158,0.30000001192092896,48002.60437011719,4096,489,19285,33,0,169279.72705078125,186634.89031982422,0,16720314368,4294963200,1996705792,858247168
9999,1743460499677,3374,3320,3398,3304,0.10010010004043579,0.20020020008087158,0.20020020008087158,0.30090272426605225,48011.35607910156,4096,489,19526,33,0,169393.02996826172,186636.16186523438,0,16720314368,4294963200,1997172736,858247168
9999,1743460509678,3374,3320,3398,3304,0.10030090063810349,0.10030090063810349,0.3021148145198822,0.500500500202179,48020.140380859375,4096,489,19285,33,0,169507.0684814453,186638.16864013672,0,16720314368,4294963200,1998147584,858247168
9999,1743460519678,3374,3320,3398,3304,0.10020039975643158,0.20020020008087158,0.30090272426605225,0.3003003001213074,48028.89794921875,4096,489,19285,33,0,169620.63671875,186639.68865966797,0,16720314368,4294963200,1998614528,858247168
9999,1743460529678,3374,3320,3398,3304,0.4000000059604645,0.10020039975643158,0.40120360255241394,0.500500500202179,48037.6591796875,4096,489,19285,33,0,169734.267578125,186641.28607177734,0,16720314368,4294963200,2000912384,858247168
9999,1743460539679,3374,3320,3398,3304,0,0.20020020008087158,0.5994005799293518,0.30060118436813354,48046.41735839844,4096,489,19285,33,0,169847.74731445313,186642.73065185547,0,16720314368,4294963200,1998721024,858247168
9999,1743460549679,3374,3320,3398,3304,0.30000001192092896,0,0.10020039975643158,0.30060118436813354,48055.16552734375,4096,489,19526,33,0,169960.9110107422,186643.8458251953,0,16720314368,4294963200,1999187968,858247168
9999,1743460559679,3374,3320,3398,3304,0.10010010004043579,0.20020020008087158,0.10030090063810349,0.30060118436813354,48063.909423828125,4096,489,19285,33,0,170074.0059814453,186644.9034423828,0,16720314368,4294963200,1999425536,858247168
9999,1743460569680,3374,3320,3398,3304,0.20020020008087158,0.10030090063810349,0.6018054485321045,0.5,48072.68371582031,4096,489,19285,33,0,170187.73834228516,186646.59051513672,0,16720314368,4294963200,1999892480,858247168
9999,1743460579680,3374,3320,3398,3304,0.20020020008087158,0.20020020008087158,0.5,0.20060180127620697,48081.437438964844,4096,489,19285,33,0,170301.08447265625,186647.90155029297,0,16720314368,4294963200,2000359424,858247168
9999,1743460589680,3374,3320,3398,3304,1.102204442024231,0.3003003001213074,0.30090272426605225,0.7007007002830505,48090.1953125,4096,489,19526,33,0,170415.923828125,186650.70544433594,0,16720314368,4294963200,2000596992,858247168
9999,1743460599680,3374,3320,3398,3304,0.10020039975643158,0.10020039975643158,0.20040079951286316,0.6000000238418579,48098.94940185547,4096,489,19526,33,0,170529.35284423828,186652.0972290039,0,16720314368,4294963200,2016546816,858247168
9999,1743460609681,3374,3320,3398,3304,0.10030090063810349,0.20000000298023224,0.10030090063810349,0.5010020136833191,48107.704162597656,4096,489,19285,33,0,170642.7066040039,186653.4044189453,0,16720314368,4294963200,2016534528,858247168
9999,1743460619681,3374,3320,3398,3304,0.20020020008087158,0.20020020008087158,0.20040079951286316,0.4008015990257263,48116.456604003906,4096,489,19285,33,0,170756.0863647461,186654.74658203125,0,16720314368,4294963200,2016534528,858247168
22,1743460629681,3374,3320,3398,3304,1.2024047374725342,1.102204442024231,1.1088709831237793,1.903807520866394,48125.29620361328,4096,489,19285,33,0,170871.67053222656,186658.29125976563,0,16720314368,4294963200,1994776576,858247168
