Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743274660198,799,800,800,800,9.090909004211426,4.761904716491699,0,4.545454502105713,23502.26287841797,4096,411,19767,36,0,135095.33154296875,203545.50134277344,0,16720343040,4294963200,1045237760,1148547072
10000,1743274660198,799,800,800,800,9.090909004211426,4.761904716491699,0,4.545454502105713,23502.308349609375,4096,411,19767,36,0,135095.88568115234,203545.57537841797,0,16720343040,4294963200,1042677760,1148547072
9999,1743274670199,799,800,800,800,3.7886340618133545,3.5892322063446045,9.751243591308594,2.376237630844116,23511.58953857422,4096,411,19526,36,1,135218.28576660156,203555.97631835938,0,16720343040,4294963200,1144049664,1147760640
9999,1743274680198,799,800,800,800,17.527862548828125,1.609657883644104,6.906907081604004,23.123123168945313,23521.546325683594,4096,411,19285,36,1,135370.26837158203,203595.98022460938,0,16720343040,4294963200,1577263104,1147760640
9999,1743274690198,799,800,800,800,98.50149536132813,98.29830169677734,98.20179748535156,98.19999694824219,23548.068359375,4096,411,19518,36,0,135847.2039794922,203956.07360839844,0,16720343040,4294963200,1815900160,1147760640
9999,1743274700199,799,800,800,800,100,100,100,100,23575.06005859375,4096,411,19518,36,0,136331.26556396484,204323.15545654297,0,16720343040,4294963200,1746157568,1147760640
9999,1743274710199,799,800,800,800,100,100,100,100,23602.03643798828,4096,411,19518,36,0,136817.4656982422,204692.35968017578,0,16720343040,4294963200,2367909888,1147760640
9999,1743274720199,799,800,800,800,100,100,100,100,23630.430725097656,4096,411,19277,36,0,137318.84411621094,205076.06854248047,0,16720343040,4294963200,2628952064,1147760640
9999,1743274730199,799,800,800,800,100,100,100,100,23659.008666992188,4096,411,19277,36,0,137821.39044189453,205460.89221191406,0,16720343040,4294963200,2604699648,1147760640
9999,1743274740199,799,800,800,800,100,100,100,100,23687.556640625,4096,411,19759,36,0,138325.72442626953,205847.49194335938,0,16720343040,4294963200,2585067520,1147760640
9999,1743274750199,799,800,800,800,100,100,100,100,23716.069213867188,4096,411,19036,36,0,138830.93005371094,206234.99481201172,0,16720343040,4294963200,2611712000,1147760640
9999,1743274760199,799,800,800,800,100,100,100,100,23744.534606933594,4096,411,19518,36,0,139336.64965820313,206623.0107421875,0,16720343040,4294963200,2598281216,1147760640
9999,1743274770199,799,800,800,800,100,98.29999542236328,98.29830169677734,98.29830169677734,23770.367248535156,4096,411,19518,36,0,139835.31005859375,207004.9178466797,0,16720343040,4294963200,5427810304,1147760640
9999,1743274780199,799,800,800,800,100,100,100,100,23799.74188232422,4096,411,19277,36,0,140344.38275146484,207396.00518798828,0,16720343040,4294963200,5761671168,1147760640
9999,1743274790199,799,800,800,800,100,100,100,100,23829.113220214844,4096,411,19518,36,0,140853.96057128906,207787.5591430664,0,16720343040,4294963200,5726875648,1147760640
9999,1743274800199,799,800,800,800,100,99.90010070800781,99.90010070800781,100,23857.88751220703,4096,410,19277,35,1,141363.46185302734,208179.29296875,0,16720343040,4294963200,5457776640,1147498496
10000,1743274810199,799,800,800,800,100,99.69999694824219,99.69999694824219,99.69999694824219,23886.48272705078,4096,410,19518,36,0,141870.87573242188,208569.00103759766,0,16720343040,4294963200,5723361280,1147498496
9999,1743274820200,799,800,800,800,100,100,100,100,23915.71844482422,4096,410,19518,36,0,142380.45837402344,208960.6572265625,0,16720343040,4294963200,5721886720,1147498496
9999,1743274830200,799,800,800,800,100,99.9000015258789,100,99.9000015258789,23944.66534423828,4096,410,19518,35,0,142890.42749023438,209352.79888916016,0,16720343040,4294963200,5642637312,1147498496
9999,1743274840200,799,800,800,800,100,100,100,100,23973.873474121094,4096,410,19759,36,0,143401.70501708984,209746.14575195313,0,16720343040,4294963200,5543870464,1147498496
9999,1743274850200,799,800,800,800,100,100,100,100,24002.89471435547,4096,410,19277,36,0,143912.53839111328,210139.11694335938,0,16720343040,4294963200,5706698752,1147498496
9999,1743274860200,799,800,800,800,100,100,100,100,24032.50164794922,4096,410,19759,36,0,144424.21411132813,210532.71551513672,0,16720343040,4294963200,5812756480,1147498496
9999,1743274870200,799,800,800,800,100,100,99.90010070800781,100,24061.85418701172,4096,410,19277,36,0,144934.46746826172,210924.99908447266,0,16720343040,4294963200,5613506560,1147498496
9999,1743274880200,799,800,800,800,100,100,100,100,24091.233154296875,4096,410,19277,36,0,145445.38671875,211317.9248046875,0,16720343040,4294963200,5650878464,1147498496
9999,1743274890200,799,800,800,800,100,100,100,100,24120.780883789063,4096,410,19518,36,0,145957.05657958984,211711.4891357422,0,16720343040,4294963200,5713629184,1147498496
9999,1743274900200,799,800,800,800,100,99.10089874267578,99.19920349121094,99.0999984741211,24148.499877929688,4096,410,19277,36,0,146459.67797851563,212096.65594482422,0,16720343040,4294963200,9221505024,1147498496
9976,1743274910224,799,800,800,800,73.46733856201172,71.5,71.556884765625,72.35528564453125,24167.551330566406,4096,410,19285,35,0,146855.65588378906,212377.65838623047,0,16720343040,4294963200,16190541824,1150398464
9999,1743274920201,799,800,800,800,81.22489929199219,81.1623306274414,87.85140228271484,80.66132354736328,24187.772216796875,4096,410,19277,36,0,147286.13696289063,212693.45416259766,0,16720343040,4294963200,13987184640,1272082432
9999,1743274930200,799,800,800,800,92.99298858642578,93,93.0999984741211,99.79979705810547,24209.722595214844,4096,410,19759,36,0,147774.8321533203,213066.71044921875,0,16720343040,4294963200,11912921088,1275490304
9999,1743274940201,799,800,800,800,96.20758056640625,96.29629516601563,96.30000305175781,100,24232.242797851563,4096,410,19518,36,0,148268.07421875,213444.29132080078,0,16720343040,4294963200,16462213120,1276637184
9999,1743274950201,799,800,800,800,93,93.00698852539063,92.90709686279297,100,24254.64013671875,4096,410,19285,36,0,148750.90557861328,213811.48510742188,0,16720343040,4294963200,15900565504,1281880064
9999,1743274960201,799,800,800,800,92.89289093017578,92.99298858642578,92.79999542236328,99.4000015258789,24277.09454345703,4096,410,19518,36,0,149233.23010253906,214178.17358398438,0,16720343040,4294963200,14526734336,1290530816
