Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743462753485,3296,3299,3299,3299,20,13.793103218078613,14.285715103149414,13.793103218078613,49987.92449951172,4096,477,19285,33,0,195039.61688232422,187034.18481445313,0,16720314368,4294963200,2004447232,857985024
10000,1743462753486,3296,3299,3299,3299,20,13.793103218078613,14.285715103149414,13.793103218078613,49987.9541015625,4096,477,19285,33,0,195040.12371826172,187034.4677734375,0,16720314368,4294963200,2016690176,857985024
9999,1743462763486,3296,3299,3299,3299,2.994011878967285,2.3928215503692627,2.814070224761963,2.191235065460205,49996.87384033203,4096,477,19526,33,1,195158.03588867188,187040.34692382813,0,16720314368,4294963200,2030772224,857985024
9999,1743462773486,3296,3299,3299,3299,0.500500500202179,0.20020020008087158,0.20161288976669312,0,50005.653564453125,4096,477,19285,33,0,195271.96990966797,187042.25299072266,0,16720314368,4294963200,2014478336,857985024
9999,1743462783487,3296,3299,3299,3299,0.40040040016174316,0.10010010004043579,0.6012023687362671,0.20020020008087158,50014.419372558594,4096,477,19285,33,0,195385.5639038086,187043.82232666016,0,16720314368,4294963200,2014687232,857985024
9999,1743462793487,3296,3299,3299,3299,0.3003003001213074,0.20020020008087158,0.2010050266981125,0.20060180127620697,50023.185485839844,4096,477,19285,33,0,195499.18518066406,187045.40112304688,0,16720314368,4294963200,2022920192,857985024
9999,1743462803487,3296,3299,3299,3299,0.20020020008087158,0.20060180127620697,0.10010010004043579,0.20020020008087158,50031.931884765625,4096,477,19526,33,0,195612.33489990234,187046.52612304688,0,16720314368,4294963200,2029670400,857985024
9999,1743462813487,3296,3299,3299,3299,0.20020020008087158,0.4000000059604645,0.20040079951286316,0.10030090063810349,50040.681884765625,4096,477,19285,33,0,195725.6024169922,187047.7534790039,0,16720314368,4294963200,2031468544,857985024
9999,1743462823488,3296,3299,3299,3299,0.3003003001213074,0.30060118436813354,0.20040079951286316,0.30000001192092896,50049.430419921875,4096,477,19285,33,0,195838.91735839844,187049.0391845703,0,16720314368,4294963200,2014527488,857985024
9999,1743462833488,3296,3299,3299,3299,0.10020039975643158,0.30060118436813354,0.3003003001213074,0.20020020008087158,50058.179748535156,4096,477,19285,33,0,195952.20281982422,187050.29650878906,0,16720314368,4294963200,2014248960,857985024
9999,1743462843488,3296,3299,3299,3299,0.10020039975643158,0.20040079951286316,0.201207235455513,0.10020039975643158,50066.943786621094,4096,477,19285,33,0,196065.85614013672,187051.90954589844,0,16720314368,4294963200,2014744576,857985024
9999,1743462853489,3296,3299,3299,3299,0.4000000059604645,0.10010010004043579,0.30090272426605225,0.20060180127620697,50075.70361328125,4096,477,19285,33,0,196179.40411376953,187053.43243408203,0,16720314368,4294963200,2026913792,857985024
9999,1743462863489,3296,3299,3299,3299,0.20040079951286316,0.10020039975643158,0.10020039975643158,0,50084.44873046875,4096,477,19526,33,0,196292.55560302734,187054.55688476563,0,16720314368,4294963200,2027134976,857985024
9999,1743462873489,3296,3299,3299,3299,0.3003003001213074,0.20020020008087158,0.20040079951286316,0.30000001192092896,50093.19616699219,4096,477,19526,33,0,196405.70037841797,187055.671875,0,16720314368,4294963200,2019356672,857985024
9999,1743462883490,3296,3299,3299,3299,0.30060118436813354,0.10010010004043579,0.30000001192092896,0.10030090063810349,50101.94567871094,4096,477,19285,33,0,196518.8270263672,187056.7573852539,0,16720314368,4294963200,2010140672,857985024
9999,1743462893490,3296,3299,3299,3299,0.40040040016174316,0.20020020008087158,0.10030090063810349,0.10020039975643158,50110.6923828125,4096,477,19526,33,0,196631.98657226563,187057.8900756836,0,16720314368,4294963200,2019123200,857985024
9999,1743462903490,3296,3299,3299,3299,0.4008015990257263,0.20020020008087158,0.5015044808387756,0.30060118436813354,50119.46270751953,4096,477,19285,33,0,196745.7530517578,187059.634765625,0,16720314368,4294963200,2015690752,857985024
9999,1743462913491,3296,3299,3299,3299,0.500500500202179,0.20020020008087158,0.30060118436813354,0.40040040016174316,50128.23126220703,4096,477,19285,33,0,196859.53790283203,187061.38665771484,0,16720314368,4294963200,2023682048,857985024
9999,1743462923491,3296,3299,3299,3299,0.30090272426605225,0.10020039975643158,0.20060180127620697,0.20040079951286316,50136.98419189453,4096,477,19285,33,0,196972.99908447266,187062.82391357422,0,16720314368,4294963200,2015670272,857985024
9999,1743462933491,3296,3299,3299,3299,0.3003003001213074,0.20000000298023224,0.10020039975643158,0.20040079951286316,50145.732177734375,4096,477,19285,33,0,197086.26171875,187064.0629272461,0,16720314368,4294963200,2010947584,857985024
22,1743462943492,3296,3299,3299,3299,1.303911805152893,1.0030089616775513,1.5030059814453125,1.2048192024230957,50154.55859375,4096,477,19285,33,0,197201.53540039063,187067.29962158203,0,16720314368,4294963200,2008326144,857985024
